TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,F,W,INC/NA,AVG GPA
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"TAO, X",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"XU, X",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111A,"LOWY, Z",26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111B,"XU, X",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111C,"XU, X",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111D,"TAO, X",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111E,"GOMES, R",28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111F,"CAMPBELL, A",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"CAMPBELL, A",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"LORD, K",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"PATEL, N",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"SENDROWICZ, M",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"STEINBERG, O",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"WU, S",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121,"XU, X",141,0,6,3,5,2,7,9,11,8,18,26,44,1,1.587,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121A,"XU, X",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121B,"SENDROWICZ, M",28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121C,"WU, S",28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,121E,"STEINBERG, O",31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,
